Date,Sentiment,Open,High,Low,Close,Adj Close,Volume
2014-01-02,Positive,64.610001,64.639999,63.439999,63.580002,55.403057,2282100
2014-01-03,Neutral,63.580002,63.869999,63.139999,63.509998,55.342052,1739100
2014-01-06,Negative,63.639999,63.810001,63.25,63.52,55.350765,1889000
2014-01-07,Negative,63.810001,64.739998,63.700001,64.690002,56.370312,2196600
2014-01-08,Positive,64.529999,65.129997,64.279999,64.760002,56.431293,2935500
2014-01-09,Positive,65.5,66.440002,65.160004,66.32,57.790665,2961600
2014-01-10,Neutral,66.769997,67.82,66.639999,67.779999,59.062893,3385000
2014-01-13,Positive,67.769997,68.470001,67.010002,67.169998,58.531357,2852000
2014-01-14,Negative,67.199997,67.43,66.82,67.110001,58.479065,1750500
2014-01-15,Negative,67.099998,67.160004,66.559998,66.629997,58.060802,1613700
2014-01-16,Positive,66.239998,66.550003,65.849998,66.480003,57.930099,1779500
2014-01-21,Negative,66.489998,66.940002,66.379997,66.879997,58.278641,2775200
2014-01-22,Negative,66.879997,67.239998,66.790001,67.120003,58.487785,2148200
2014-01-23,Neutral,66.720001,67.0,66.07,66.400002,57.860374,2643500
2014-01-24,Negative,66.089996,66.82,65.860001,65.93,57.450825,2383200
2014-01-27,Positive,65.959999,66.75,65.849998,66.419998,57.877811,2171700
2014-01-28,Neutral,66.419998,66.639999,66.059998,66.260002,57.738392,2380500
2014-01-29,Negative,66.080002,66.459999,65.870003,66.279999,57.75581,2646200
2014-01-30,Neutral,66.449997,67.169998,66.330002,67.050003,58.426785,2184200
2014-01-31,Neutral,65.620003,68.449997,65.080002,67.910004,59.176186,4436900
2014-02-03,Neutral,67.839996,68.860001,66.919998,67.120003,58.487785,3096300
2014-02-04,Neutral,67.129997,67.349998,65.760002,65.849998,57.381111,3507300
2014-02-06,Positive,65.650002,66.099998,65.110001,65.93,57.450825,1735000
2014-02-07,Positive,66.080002,66.980003,65.949997,66.93,58.322212,2138000
2014-02-10,Neutral,67.269997,68.57,66.93,68.489998,59.681587,3972400
2014-02-11,Neutral,68.690002,69.589996,68.360001,69.139999,60.247993,3114000
2014-02-12,Neutral,69.0,69.519997,68.760002,69.360001,60.439701,1846600
2014-02-13,Neutral,69.059998,70.75,69.0,70.690002,61.598652,2736000
2014-02-14,Neutral,70.489998,71.169998,70.099998,71.110001,61.964642,2225000
2014-02-18,Positive,71.150002,71.309998,70.68,70.860001,61.746777,2094900
2014-02-19,Neutral,70.82,71.730003,70.470001,70.639999,61.555084,2125000
2014-02-21,Negative,71.599998,72.07,71.32,71.389999,62.208611,1549200
2014-02-24,Negative,71.400002,72.220001,71.269997,71.290001,62.121475,1514400
2014-02-25,Neutral,71.389999,71.959999,71.110001,71.260002,62.095348,1893800
2014-02-26,Negative,70.949997,71.019997,69.599998,69.760002,61.304436,2633900
2014-02-27,Positive,69.760002,70.129997,69.25,69.580002,61.146255,1652600
2014-02-28,Negative,69.470001,69.809998,69.089996,69.400002,60.988071,4112500
2014-03-03,Positive,68.970001,69.449997,68.389999,68.589996,60.276249,2861700
2014-03-04,Negative,69.300003,69.519997,68.860001,69.290001,60.891388,2891000
2014-03-05,Neutral,69.260002,69.300003,68.349998,68.519997,60.214725,2721300
2014-03-06,Positive,68.75,68.900002,67.790001,67.970001,59.731396,2294500
2014-03-07,Positive,67.889999,68.510002,67.589996,68.440002,60.144432,3006800
2014-03-10,Positive,68.309998,68.660004,67.970001,68.349998,60.065338,2016900
2014-03-11,Positive,68.43,68.43,67.75,68.050003,59.801697,2223000
2014-03-12,Positive,68.010002,69.010002,67.849998,68.980003,60.618965,2711200
2014-03-13,Neutral,69.040001,69.68,68.860001,69.5,61.075939,3369800
2014-03-14,Positive,69.419998,70.089996,69.129997,69.889999,61.418671,4787500
2014-03-18,Negative,70.599998,70.870003,70.209999,70.5,61.95472,2411100
2014-03-21,Neutral,70.82,70.959999,69.93,70.059998,61.568066,4528700
2014-03-25,Positive,69.949997,70.209999,69.519997,70.07,61.576855,1658300
2014-03-26,Positive,70.129997,70.970001,69.970001,70.360001,61.831707,2189500
2014-03-27,Negative,70.419998,71.019997,70.080002,70.949997,62.350185,1819800
2014-03-28,Neutral,70.82,71.129997,70.599998,71.089996,62.473225,1866300
2014-03-31,Negative,71.279999,71.519997,70.239998,70.989998,62.385338,2850500
2014-04-01,Negative,70.849998,71.160004,70.040001,70.400002,61.866848,2418500
